,training_time [s],accuracy,precision,recall,f1,auc
strat1_logistic_regression,0.01,0.7357630979498861,0.6376811594202898,0.32592592592592595,0.43137254901960786,0.7010721247563352
strat1_knn,0.01,0.6287015945330297,0.36538461538461536,0.2814814814814815,0.3179916317991632,0.5905214424951267
strat1_decision_tree,0.01,0.6195899772209568,0.3888888888888889,0.4148148148148148,0.4014336917562724,0.5626705653021442
strat1_random_forest,0.25,0.6810933940774487,0.47191011235955055,0.3111111111111111,0.375,0.6720516569200778
strat1_AdaBoost,0.1,0.7198177676537585,0.5666666666666667,0.37777777777777777,0.4533333333333333,0.6744883040935674
strat1_XGBoost,0.12,0.6879271070615034,0.49,0.362962962962963,0.4170212765957447,0.6780945419103315
strat1_CatBoost,24.73,0.30751708428246016,0.30751708428246016,1.0,0.47038327526132406,0.6407651072124756
strat2_logistic_regression,0.01,0.6332574031890661,0.41975308641975306,0.5037037037037037,0.4579124579124579,0.6562865497076024
strat2_knn,0.01,0.5876993166287016,0.3826530612244898,0.5555555555555556,0.4531722054380664,0.594980506822612
strat2_decision_tree,0.01,0.6150341685649203,0.4,0.5037037037037037,0.4459016393442623,0.5840886939571149
strat2_random_forest,0.33,0.6719817767653758,0.46511627906976744,0.4444444444444444,0.4545454545454546,0.6558966861598441
strat2_AdaBoost,0.13,0.6583143507972665,0.4556213017751479,0.5703703703703704,0.5065789473684211,0.6839912280701754
strat2_XGBoost,0.13,0.6332574031890661,0.410958904109589,0.4444444444444444,0.42704626334519574,0.6455409356725146
strat2_CatBoost,26.24,0.30751708428246016,0.30751708428246016,1.0,0.47038327526132406,0.4987694931773879
strat3_logistic_regression,0.0,0.6765375854214123,0.4748201438848921,0.4888888888888889,0.4817518248175182,0.6747319688109161
strat3_knn,0.0,0.5854214123006833,0.3422818791946309,0.37777777777777777,0.35915492957746475,0.5740131578947368
strat3_decision_tree,0.01,0.5854214123006833,0.36257309941520466,0.45925925925925926,0.40522875816993464,0.550353313840156
strat3_random_forest,0.29,0.6742596810933941,0.4666666666666667,0.4148148148148148,0.4392156862745098,0.6784478557504873
strat3_AdaBoost,0.11,0.6810933940774487,0.48226950354609927,0.5037037037037037,0.4927536231884058,0.6667397660818712
strat3_XGBoost,0.11,0.6742596810933941,0.46923076923076923,0.45185185185185184,0.460377358490566,0.6481237816764133
strat3_CatBoost,24.75,0.30751708428246016,0.30751708428246016,1.0,0.47038327526132406,0.5954922027290448
